base,onboard,cohort,days,r1,e1,r3,e3,r5,e5,r10,e10,r20,e20,r30,e30
ARK,2023-09-19,2023,1074,0.04420416600413413,0.0474509670042812,-0.026395293369375183,-0.02692631481360297,-0.19907775480998569,-0.1866281536715645,-0.15694069009381462,-0.15246486841588136,-0.1919224041978057,-0.1803494252578317,-0.2941644140562888,-0.30793481088252694
BICO,2023-09-28,2023,1065,-0.04471228615863132,-0.040236464480698064,-0.04937791601866248,-0.08761411592293289,-0.05948678071539648,-0.05709938152478311,-0.11625194401244165,-0.11475604163975439,-0.218895800933126,-0.21626031846014138,-0.06454121306376348,-0.07025033970015859
BIGTIME,2023-10-12,2023,1051,-0.1966527196652721,-0.2006087471854634,-0.09661468238874105,-0.10792399104902572,-0.2890833016356029,-0.2854183820075713,-0.37580829212628386,-0.37868833387183665,-0.39406618486116396,-0.4167492510576236,-0.37010270064663375,-0.36559431070170945
WAXP,2023-10-18,2023,1045,-0.1286833855799372,-0.14245378240617534,-0.16206896551724126,-0.1702435178390974,-0.19106583072100303,-0.2942127713343813,-0.0877742946708463,-0.09348342130724141,-0.010815047021943469,-0.0207730016905725,0.028996865203761768,0.016671013810572788
BSV,2023-10-20,2023,1043,0.013272727272727325,0.0050981749508711705,0.0,-0.10314694061337826,-0.08490909090909093,-0.10173546116589416,-0.08672727272727276,-0.08542979759071945,-0.09727272727272729,-0.12794635126821385,-0.12218181818181817,-0.1439144710143072
RIF,2023-10-21,2023,1042,0.0789810170158356,0.07610097527028281,0.20389495426379467,0.1784066552978396,0.18215796203403167,0.19183387547563546,0.06422740238024982,0.05936714915989705,0.13474968033834966,0.11811274356088797,-0.012294678862988073,-0.014611679925169874
POLYX,2023-10-25,2023,1038,0.23687943262411348,0.24655534606571727,0.2912529550827423,0.2855438284463472,0.9049645390070922,0.9062620141436455,0.10212765957446823,0.09148513095808353,-0.03924349881796696,-0.013831151135829667,-0.05531914893617018,-0.06636641353156403
GAS,2023-10-25,2023,1038,0.031641168289290755,0.041317081730894545,0.7837273991655076,0.7780182725291125,0.7677329624478442,0.7690304375843975,3.4481919332406115,3.4375494046242268,1.8842141863699582,1.9096265340520955,2.079276773296245,2.068229508700851
POWR,2023-10-27,2023,1036,0.03014861995753715,0.024439493321142036,0.09002123142250529,0.0913187065590586,-0.0157112526539277,-0.038394318850387354,-0.0641188959660296,-0.06502966098009078,0.1728237791932059,0.2179491038548187,0.14352441613588107,0.15222787368832147
TIA,2023-10-31,2023,1032,0.12053434108186489,0.09785127488540524,0.05062178670299233,0.05748209906615087,0.016302676099661628,0.017563023350992468,0.39697675440523783,0.38033981762777613,1.6258294151250166,1.6235124140628348,1.8101682998637783,1.8133477190053084
CAKE,2023-11-02,2023,1030,-0.031200051147624808,-0.02433973878446627,0.517613963301579,0.5188743105529099,0.4028514800843934,0.3928935254157644,0.3895530976280288,0.3916143374395572,0.5709353621891184,0.5240259965456677,0.5187008503292627,0.4986542905775815
MEME,2023-11-03,2023,1029,-0.04245013158396582,-0.05309266020035053,-0.19878713909760093,-0.1996979041116621,-0.30752507723406697,-0.3137442742741583,0.2996300392844884,0.3157899939837645,0.029177314161485945,0.03236066558103079,0.15607002555398775,0.14225742253636398
TWT,2023-11-03,2023,1029,0.07200720072007205,0.061364672103687345,0.3741101382865559,0.37319937327249475,0.2091481875460275,0.20292899050593616,0.011373864659193211,0.027533819358469325,-0.04508632681449953,-0.04190297539495469,0.0034367073070942222,-0.010375895710529548
ORDI,2023-11-07,2023,1025,-0.07249262536873158,-0.0787118224088229,0.4620206489675516,0.4453837121900899,0.6061209439528024,0.6081821837643308,0.8924778761061944,0.8801520247130055,0.4423303834808259,0.44776872270391255,2.740781710914454,2.7517195107444934
STEEM,2023-11-08,2023,1024,0.01095406360424045,-0.019719560391246116,-0.030742049469964616,-0.02623365952504031,-0.0222614840989398,-0.0061015293996636855,-0.10070671378091867,-0.0995871650955692,-0.08692579505300335,-0.10244374490032149,-0.03957597173144878,-0.06067491851637108
